landslide_fid,id,time_of_occurrence,damage_description,size_category,trigger,debris_type,material_type,movement_type,metadata_id,aspect,activity,x_coordinate,y_coordinate,severity_name,debris_type_name,material_type_name,movement_type_name,aspect_name,activity_name,data_source_name,trigger_name
"314989","562",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.024836214116,-45.1151405185846,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314990","563",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.019977882323,-45.174435968922,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314991","564",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.020054761298,-45.1798533299979,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314992","565",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.027556482886,-45.1134769648128,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314993","566",2003-08-21Z, ,"1","1","101","101","101",,"0","0",166.986807595299,-45.517366707651,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"314994","567",2003-08-21Z, ,"2","1","2","1","4",,"0","0",167.030091306045,-45.1136082036255,moderate,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314995","568",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.023660027102,-45.1881600607073,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314996","569",2003-08-21Z, ,"1","1","101","101","101",,"0","0",166.999404372466,-45.4214819519897,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"314997","570",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.034662742042,-45.0939958561084,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314998","571",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.004703935704,-45.3829609321154,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
